cat_id, cat_name, count
03bt1gh,Games,788288
01mw1,Video game,539945
07yv9,Vehicle,415890
01jddz,Concert,378135
09jwl,Musician,286532
0215n,Cartoon,236948
01350r,Performance art,203343
0k4j,Car,200813
026bk,Dance,181579
0342h,Guitar,156226
0d8lm,String instrument,144667
02wbm,Food,135357
02vx4,Football,130835
05229,Musical ensemble,125668
0mdxd,Music video,116098
0jbk,Animal,107788
0hcr,Animation,98140
0410tth,Motorsport,93443
068hy,Pet,90779
0dfbw,Racing,84258
0p57p,Recipe,75819
050k8,Mobile phone,72911
01mtb,Cooking,71218
0169zh,Smartphone,64884
02mf1n,Gadget,64452
03hdbf,Trailer,59695
0138tl,Toy,58720
09v6kpg,Minecraft,57801
02hnl,Drums,55597
01ykh,Cuisine,55411
05r5c,Piano,55201
04_sv,Motorcycle,54950
02q08p0,Dish,54730
026t6,Drums,54195
042v_gx,Acoustic guitar,51712
02ntfj,Action-adventure game,51597
026wy8d,Call of Duty,49465
02sgy,Electric guitar,47982
09lbv,Drummer,45885
014trl,Cosmetics,43039
05148p4,Keyboard,41496
0l14jd,Choir,38652
03hf_rm,Strategy video game,36451
094jc,Fishing,36051
0k5j,Aircraft,35779
07jdr,Train,35331
05czz6l,Airplane,35170
05vyk,Pianist,34650
012mq4,Sports car,34448
0jjw,Art,33328
03q69,Hair,33321
06d_3,Rail transport,31796
01sgl,Cycling,31060
05pd6,Orchestra,31046
018w8,Basketball,31017
07bsy,Transport,30191
057cc,Musical keyboard,30169
025sn53,Motorcycling,30111
0199g,Bicycle,29728
0ch_cf,Fish,29371
05b0n7k,Outdoor recreation,28879
0dkw5,Machine,28568
02dsz,Disc jockey,28529
022dc6,Sports game,27764
0plc2,Radio-controlled model,27098
0ds4x,Hairstyle,26534
032tl,Fashion,26154
0bt9lr,Dog,25972
06zfw,Skateboarding,24982
07yr3,Fighting game,24498
06nb_j,Basketball moves,24084
027lnzs,iPhone,24033
081hv,Wedding,23974
06_fw,Skateboard,23873
0643t,Personal computer,23842
07r04,Truck,23553
019jd,Boat,23265
01g50p,Railroad car,22237
06rvn,Snare drum,21438
0jm_,American football,20847
02csf,Drawing,20580
05xwg,Pokémon,20186
09qf5,Winter sport,20006
013xlm,Tractor,19343
0hgnzjh,Grand Theft Auto V,18921
01hryy,Naruto,18907
01qbl,Cymbal,18684
03k3r,Horse,18636
02mk9,Engine,17935
03jm5,House,17902
0hr5k,Festival,17786
04c20y,Highlight film,17596
01cgz,Boxing,17391
021dvx,World of Warcraft,15619
0j24v_k,Call of Duty: Black Ops II,15509
02988_,Four-wheel drive,15401
015p6,Bird,15222
07y_7,Violin,15059
0c4f_,Weight training,15019
09qjj,Skateboarding trick,14962
03qc82_,Recreational fishing,14920
01vq3,Christmas,14860
03bwwx,Warcraft,14808
03xbw,Ice skating,14727
0kw6d,Driving,14706
07_tb,Video game console,14703
0vg8,Airline,14482
04r_8,Microsoft Windows,14404
01hh79,Landing,14394
05b1n7,Pokémon,14332
04n3w2r,League of Legends,14239
0byj4,Combat,14181
0dhz0,Airliner,13840
0l8fl,Model aircraft,13834
0f4s2w,Vegetable,13739
0hnbsn3,Samsung Galaxy,13621
01vdm0,Electronic keyboard,13609
0ctrp,Sport utility vehicle,13465
03mr6,Hockey,13310
053scx,Radio-controlled aircraft,13022
0dxrf,Frying,12912
025zp2s,Eye shadow,12733
0270h,Dessert,12575
018hzk,Cooking show,12556
03f_kc,Battlefield,12441
05s2s,Plant,12424
012xhn,Slam dunk,12279
05qdh,Painting,12219
0bh9flk,Tablet computer,12214
05h5q84,Call of Duty: Modern Warfare 2,12162
04yr41,Drifting,12156
0dr19,Rallying,12155
04ndr,LEGO,12124
02hk9c,Grand Theft Auto: San Andreas,12005
03ykjs9,Comedy,11990
035f_j,Off-road vehicle,11967
04h5c,Locomotive,11914
09b3v,The Walt Disney Company,11878
015z_b,Takeoff,11871
010jjr,Amusement park,11843
0d7s3w,Puppy,11838
01l8t_,RuneScape,11743
0gff_kj,Call of Duty: Modern Warfare 3,11670
01lp7f,Motocross,11553
09cjl,Airport,11481
0k2dm,Dragon Ball,11478
05wkw,Photography,11470
0bwm8y4,Call of Duty: Black Ops,11363
06rrc,Shoe,11275
0lyyx,Radio-controlled car,11101
0ltfs,Bride,11048
08b26_,Sonic the Hedgehog,11005
01gl72,Skatepark,10953
0mkg,Accordion,10857
027x0j,Mascara,10778
015y8h,Jet aircraft,10762
033th,First-person Shooter,10730
04h6hv,Halo,10694
0dv5r,Camera,10611
071k0,Skiing,10378
016yx7,Gym,10236
02ywx,Final Fantasy,10235
0fzyg,Aviation,10211
09x9g,Marching band,10206
0_mjp,Mountain bike,10202
02k_k3t,Ford,9902
